grade,ge100,ge101,size,fgpa,gender,msat,vsat,am1,am2,am3
3,3.3,3,23,3.1070001,Female,600,530,1,0,0
3,1.7,2,20,2.3829999,Male,630,540,1,0,0
2.3,3,1.7,30,2.5469999,Male,590,470,1,0,0
2,3,2.3,19,2.8729999,Male,630,570,1,0,0
3.7,3,2.3,19,2.8710001,Male,690,570,0,1,0
3,2.7,2.3,27,2.7460001,Female,720,480,1,0,0
1,2,2,32,2.6300001,Male,520,490,1,0,0
2.7,2,4,28,2.6129999,Female,670,610,0,1,0
2.7,2,1.7,21,2.5650001,Male,650,660,0,1,0
2.3,2.7,2,31,2.9460001,Male,690,670,0,1,0
2,3,1.7,17,2.4330001,Female,610,500,0,0,0
3.3,3,2,20,3.119,Female,680,520,1,0,0
2.7,2,2,31,1.9529999,Male,640,500,0,1,0
3,3,3.7,24,3.118,Female,620,660,0,1,0
3,3,2,21,3.1099999,Female,590,520,1,0,0
3.3,3,3,31,2.796,Male,640,530,1,0,0
2,1,1.3,23,1.9170001,Female,510,410,0,1,0
2,3.7,3,31,2.507,Male,580,590,1,0,0
4,4,3.7,18,3.0710001,Female,730,650,0,0,1
1.3,2,2,36,2.234,Male,600,650,1,0,0
2,3,3.3,31,3.175,Female,590,610,1,0,0
2.3,3,2.3,31,2.6029999,Male,600,620,0,1,0
3,2,3.7,31,2.8280001,Female,600,560,0,1,0
2,4,3,32,3.0599999,Male,740,580,0,1,0
3.3,3.7,3,29,2.8169999,Male,630,570,1,0,0
3,4,4,32,2.8369999,Male,620,600,1,0,0
3.3,3,3.3,21,3.1029999,Female,640,530,1,0,0
3.7,3,4,33,3.2820001,Male,600,530,0,1,0
3,2,3,28,2.855,Female,590,610,1,0,0
4,2.3,4,31,3.6670001,Female,660,480,0,1,0
3,2.7,3.7,27,2.803,Male,730,630,0,1,0
2.3,2,2.7,18,2.7679999,Male,650,590,0,1,0
3,2,2.3,32,2,Female,590,600,0,0,0
2.3,2,2,19,2.5710001,Male,590,530,1,0,0
3.7,4,4,27,3.948,Male,700,580,0,1,0
2,2,2.3,24,2.2609999,Female,540,580,1,0,0
.69999999,2,1.7,30,2.04,Male,630,520,0,1,0
3.7,3,3,21,3.53,Male,580,520,1,0,0
3,3,2.7,22,2.724,Male,630,640,1,0,0
2.7,2.7,2,34,2.8729999,Male,680,590,1,0,0
2.7,2,2.7,32,2.164,Male,590,470,0,1,0
2,4,3,24,3.3959999,Male,710,610,1,0,0
3,1.3,2.7,32,3.3800001,Female,610,420,0,1,0
2.3,2.3,2.7,18,2.6530001,Male,600,590,0,1,0
2,2,1.7,29,2.7460001,Male,570,640,1,0,0
3.3,2,3,32,3.0439999,Female,650,710,0,1,0
1.7,3,2,24,2.3169999,Male,690,570,0,0,0
2,2,2.3,21,2.95,Female,660,510,1,0,0
3.3,3,2.7,25,2.546,Male,570,560,1,0,0
2,1.7,2.7,33,2.77,Female,590,570,1,0,0
1,1,2.3,21,2.066,Male,640,550,1,0,0
2.7,2,2,27,2.1570001,Female,660,610,1,0,0
3.3,3,2.7,32,2.9219999,Female,610,540,1,0,0
3,2,2,36,3.142,Male,560,410,1,0,0
2.7,2.7,2.7,25,2.8110001,Female,650,630,1,0,0
3.3,4,3.3,32,2.7030001,Female,530,620,1,0,0
2,2,1.7,29,3.0190001,Male,550,560,1,0,0
2.3,2.3,3.3,31,2.925,Female,640,600,0,1,0
3,2,3,32,2.441,Male,600,420,0,0,0
1,3,3,29,2.0780001,Male,610,530,0,1,0
4,4,3.7,35,3.0710001,Female,690,660,1,0,0
2.7,2,3,35,3.0869999,Female,580,540,0,1,0
1.7,1,1.7,27,2.316,Female,630,500,1,0,0
2.3,1,2.3,24,2.072,Male,720,520,0,1,0
3,3,2.3,34,2.7030001,Female,550,600,1,0,0
2.3,2.3,3.7,27,2.5669999,Male,740,470,0,1,0
1.7,2,2,27,2.7,Female,620,640,1,0,0
2,2.7,2,27,2.8410001,Male,630,530,0,1,0
.69999999,2,3,32,2.793,Male,650,600,0,1,0
3.7,2.7,3,18,2.8199999,Male,750,590,0,1,0
1,2,3,31,2.178,Male,580,440,0,1,0
2.3,2,2,27,2.092,Male,600,550,0,0,0
3.3,4,3.3,27,3.3929999,Male,600,500,1,0,0
2.7,2,2,32,2.3610001,Male,700,550,0,1,0
2.7,1.7,2,25,2.0680001,Female,620,530,1,0,0
3,3,4,28,3.28,Male,670,640,0,1,0
2,1.7,1.7,19,2.661,Male,680,570,1,0,0
3,3.3,2.7,27,2.6099999,Male,630,560,0,1,0
3.7,2.3,3.3,32,3.2279999,Female,620,530,0,1,0
2.7,3,3,33,3.082,Male,680,680,1,0,0
.69999999,2.7,2,19,2.6930001,Female,660,510,0,1,0
3,2,3.7,18,2.7920001,Male,560,620,0,1,0
3.7,3.3,2.7,33,3.306,Female,670,550,0,1,0
3,3,2.7,36,2.47,Male,640,660,1,0,0
3,1,2.7,28,2.437,Male,620,450,0,1,0
2,2,2,31,3.2060001,Male,520,540,1,0,0
4,4,3.3,36,2.5339999,Female,580,520,0,1,0
3.3,2,3.7,19,3.3529999,Male,640,580,0,1,0
4,3,3.7,24,3.53,Male,650,570,0,1,0
3,2,3.3,18,2.977,Male,670,540,0,1,0
3.3,2.3,2.7,18,3.0869999,Female,710,580,0,1,0
2.3,3.7,2.3,29,2.681,Male,660,670,1,0,0
2.3,3,2.7,21,2.575,Female,600,580,1,0,0
2,3,2.7,31,2.0899999,Female,640,600,0,1,0
3.3,2.3,2.7,25,2.6389999,Female,520,520,1,0,0
2.7,3.3,2.7,35,2.948,Female,640,560,1,0,0
2.7,1.7,3,25,2.471,Male,650,520,0,1,0
0,2,2,32,2.8239999,Female,550,630,1,0,0
3.3,2.3,4,35,3.1530001,Female,590,530,0,1,0
3.3,2,3,22,2.5220001,Female,650,660,1,0,0
3.7,3.7,4,27,3.3959999,Female,620,530,0,0,0
1.7,3,2,31,2.9679999,Female,580,580,0,1,0
2.7,3,2.7,23,2.207,Male,610,600,1,0,0
2.7,2.3,1.7,18,2.664,Male,640,580,0,1,0
.69999999,2.3,3,33,2.773,Male,620,480,1,0,0
3,2.7,2.3,31,3.096,Female,560,510,0,1,0
3.7,2.3,2.3,25,2.7750001,Male,690,590,0,1,0
2.7,3.3,4,32,2.9289999,Male,680,590,1,0,0
2.3,2,2,19,2.3770001,Female,570,540,1,0,0
4,3.3,3,26,3.2260001,Male,770,480,0,1,0
3.7,2.7,1.7,30,2.928,Male,750,650,0,1,0
1.7,3,2,32,2.7279999,Female,630,450,1,0,0
.69999999,2,1,19,2.1110001,Male,490,390,1,0,0
3,3.7,3.7,32,2.915,Male,600,540,1,0,0
3.3,2,3,20,2.8570001,Male,610,500,1,0,0
2.3,3,2.3,24,3.289,Female,580,440,1,0,0
2.3,3.3,1,22,2.664,Male,600,680,1,0,0
3,2.3,3,27,3.02,Female,620,470,0,1,0
2,2.3,2,31,2.6719999,Male,550,560,0,1,0
3.7,4,4,30,3.325,Male,660,460,0,1,0
3,1.3,2,27,2.4960001,Male,600,520,1,0,0
2.7,3,3.3,31,3.0420001,Male,650,690,1,0,0
4,3.3,3,31,3.2219999,Female,710,570,0,1,0
4,3,4,36,2.5339999,Female,600,530,1,0,0
2.3,2,3,27,3.2920001,Female,590,430,0,1,0
3.7,1.7,3.3,21,2.7249999,Female,590,540,0,1,0
3.3,4,3,18,3.355,Male,720,510,1,0,0
1.3,2,2,31,2.878,Male,620,620,1,0,0
4,3.7,3.3,32,3.457,Male,720,550,0,0,1
3.3,4,4,31,3.971,Female,690,730,1,0,0
2,2,2,21,2.214,Female,620,520,1,0,0
2.3,3,2.7,20,2.9960001,Female,660,650,1,0,0
2.3,2.3,2.7,25,2.1329999,Male,690,620,1,0,0
