grade,ge100,ge101,size,fgpa,gender,msat,vsat,am1,am2,am3
2,3,2.3,31,2.868,Male,600,580,1,0,0
2,2.3,2,39,2.448,Male,680,540,1,0,0
2.3,2,3,32,2.0999999,Male,650,560,0,0,0
3,2,1.7,27,2.576,Female,570,530,1,0,0
1.3,2,3,27,2.3139999,Female,620,550,0,0,0
1.7,3.7,2.3,19,2.75,Male,720,530,0,1,0
2.7,1,2.7,24,2.2620001,Male,560,600,1,0,0
3.3,4,4,27,3.803,Female,640,600,1,0,0
3,2.3,2.3,32,2.29,Male,620,570,0,1,0
2.3,4,3.3,31,3.1070001,Male,710,570,0,1,0
2.3,2.3,1.7,21,1.934,Male,580,500,1,0,0
3,2.7,2,31,2.595,Male,720,660,0,0,1
2.7,4,3.7,24,3.03,Male,650,570,1,0,0
2.7,1.3,3,31,2.23,Female,620,540,0,1,0
3,2.7,3.3,31,2.5439999,Female,580,520,0,1,0
2.3,2,3,19,3,Female,660,640,0,1,0
3,2,2,31,2.835,Female,580,520,0,1,0
0,2,1.3,33,2.8310001,Male,510,470,0,1,0
0,3.7,2.7,31,2.234,Female,550,600,0,1,0
2.7,3.7,3.3,32,2.47,Male,620,660,0,1,0
3.7,4,3.7,34,3.7690001,Female,620,670,0,1,0
0,2.3,2.3,33,2.6559999,Female,550,480,1,0,0
2,2,1,20,1.96,Male,660,520,1,0,0
.69999999,1.7,1.7,32,3.2079999,Female,650,530,0,1,0
2.3,2,2.7,28,2.934,Female,570,610,1,0,0
2.3,2,2,29,2.783,Male,680,530,0,0,1
2.3,2.7,1.7,23,2.28,Male,650,610,1,0,0
2.3,3,1.7,17,1.7,Male,640,680,0,1,0
0,2,2,36,1.8049999,Female,540,550,1,0,0
2.7,2.3,3.7,39,2.48,Female,620,550,0,1,0
4,3.7,3,21,3.1329999,Male,460,610,1,0,0
3.3,3,2.7,31,2.8,Male,560,580,0,1,0
4,3.3,3.3,36,3.4530001,Female,590,550,0,1,0
4,4,3.3,31,3.6340001,Male,640,550,1,0,0
1.7,2.3,3.7,33,2.6619999,Male,620,600,1,0,0
1.7,1.7,1.7,18,2.1600001,Male,600,670,0,1,0
2,2,1.7,28,3.21,Female,590,520,0,1,0
2.3,2.7,2.7,32,2.7309999,Male,600,510,0,1,0
4,3.7,3.3,19,3.5899999,Female,630,520,0,1,0
2,3,1.7,33,2.592,Male,640,600,1,0,0
0,2,2,21,2.6210001,Male,630,500,0,1,0
1.3,2,1,31,2.4849999,Male,710,560,1,0,0
2,3,1.7,24,3.1370001,Female,620,600,0,1,0
2.7,3,3.3,22,3.0409999,Female,710,660,1,0,0
.69999999,1.3,3,31,2.5239999,Female,590,580,0,1,0
3.7,2.3,4,25,3.033,Female,690,640,0,1,0
1.7,3.3,3,29,2.6199999,Male,660,570,1,0,0
3.3,3,2,22,3.24,Male,610,560,0,1,0
2,4,3,22,3.023,Female,650,620,0,1,0
3,3,2.7,27,2.9690001,Female,580,560,0,1,0
3.3,2,2.3,34,2.2320001,Male,610,460,1,0,0
4,4,3.7,31,3.71,Female,600,540,0,1,0
3.7,3,2.7,31,3.2,Female,640,510,0,1,0
2,2.3,2,39,2.8110001,Male,670,490,1,0,0
2,2,2,20,1.973,Male,590,540,0,1,0
3,2,2,32,2.6059999,Male,650,520,1,0,0
4,3.3,4,39,3.4260001,Male,790,640,0,1,0
3,2,1,34,2.02,Male,480,540,1,0,0
2,1.7,2,28,2.303,Male,590,490,0,1,0
1,2,2.3,32,2,Male,660,690,1,0,0
3,3,3,34,2.675,Male,660,590,1,0,0
3.7,2.7,4,19,3.3959999,Male,620,590,1,0,0
3.7,4,3.7,34,3.4719999,Male,690,670,1,0,0
1.7,1,1.7,32,2.848,Male,600,430,1,0,0
.69999999,1.7,1.7,31,2.0150001,Male,560,450,1,0,0
2.7,2.3,3,29,2.8529999,Female,600,570,1,0,0
4,4,2.7,33,3.4030001,Female,610,540,0,1,0
0,2.3,2,28,2.2909999,Male,650,520,0,0,0
2,2,2,34,2.2639999,Female,620,470,0,1,0
1,2,2,33,2.862,Female,640,500,0,1,0
3.3,3,3,34,3.6889999,Male,690,510,0,1,0
2.3,2.3,2,34,2.51,Female,670,480,0,1,0
3.7,3.3,2.7,27,1.9119999,Male,640,720,1,0,0
3,3,2.3,34,2.8499999,Male,570,460,1,0,0
1.7,2.3,2,29,3.096,Male,600,640,1,0,0
3,3,3,23,2.7690001,Male,650,570,1,0,0
3.7,3.3,2.7,32,2.592,Female,570,520,0,0,0
1.7,3,2,31,2.3399999,Male,610,680,1,0,0
3,3.7,3.3,27,3.4300001,Female,620,600,0,1,0
3,2.3,2,30,2.848,Male,520,550,1,0,0
3,3,3.3,32,3.411,Female,630,560,0,0,0
4,2,3,34,3.1860001,Male,720,600,0,1,0
1.3,3,2.7,32,2.793,Male,490,550,1,0,0
2.7,3,2.7,32,3.151,Male,610,580,0,0,0
2.3,2.7,4,28,2.2379999,Male,570,540,1,0,0
2,2.7,2.7,34,2.5699999,Male,650,460,0,1,0
.69999999,3,2,32,2.0150001,Male,570,630,1,0,0
2,3,3.7,31,3.2420001,Female,660,550,0,1,0
3.7,4,4,28,3.5810001,Male,780,710,0,1,0
2,2.7,2.7,33,2.4960001,Male,560,600,1,0,0
1.7,2.3,2,33,2.675,Female,560,550,0,1,0
2.3,2.7,2,34,3.3,Male,670,560,1,0,0
3,3.7,4,33,3.6800001,Female,640,600,1,0,0
0,1.7,1.7,33,2.2539999,Male,560,580,0,1,0
3,3,3.3,18,3.22,Male,690,480,0,1,0
3.7,3.3,4,25,2.575,Female,580,530,0,1,0
3,1.7,2,27,2.02,Female,670,610,0,1,0
2.7,3,1.7,32,2.303,Female,660,600,0,1,0
1.7,2,3,33,2.619,Male,630,630,1,0,0
2.3,2,3.3,35,2.3199999,Male,590,740,0,1,0
4,3,3,32,2.7579999,Male,730,500,0,1,0
3,1,3.3,31,2.493,Female,540,510,1,0,0
3,2,3,31,2.642,Male,590,480,1,0,0
3,2.3,3.7,39,2.8889999,Female,660,550,0,0,1
3,2.3,2,34,2.358,Male,680,540,1,0,0
2.7,1.7,2,36,2.2409999,Male,630,510,0,1,0
3,4,3,31,3.211,Female,630,470,0,1,0
2.3,2.7,3,34,2.6630001,Female,620,520,1,0,0
2.7,2,3,19,3.4419999,Male,670,490,0,1,0
0,2.3,1,19,2.3199999,Male,580,470,1,0,0
3,3,2,27,3.1730001,Female,670,520,0,1,0
2.3,2,2.7,21,2.6500001,Female,680,530,1,0,0
2.7,3,3,31,2.688,Male,730,530,0,1,0
2.3,2,2.3,24,2.2360001,Female,530,610,1,0,0
1.7,3,1.7,26,2.635,Female,650,610,0,1,0
3,3,3.3,24,3.303,Male,570,550,0,1,0
2,2,1.7,27,2.596,Female,620,530,1,0,0
2.7,3.3,3,27,2.707,Female,660,520,0,1,0
4,4,4,25,3.723,Male,720,580,1,0,0
4,3.3,3,32,2.7030001,Male,600,570,1,0,0
3.7,3.7,3,31,3.188,Male,690,670,0,1,0
2.7,3,2,27,2.4000001,Female,570,490,1,0,0
3,2.3,3,22,3.3640001,Female,490,460,1,0,0
.69999999,3.7,2.7,28,2.9649999,Female,560,510,0,1,0
2.3,3.3,2,31,2.9430001,Male,630,490,0,1,0
3.3,3,2.7,32,2.6559999,Female,550,490,1,0,0
2.7,3.3,2.7,28,2.803,Male,580,570,1,0,0
4,3.7,4,27,3.6159999,Male,650,580,1,0,0
3.7,2.3,3,27,2.7420001,Male,600,660,1,0,0
2.3,2.7,1.7,29,2.1819999,Female,570,570,1,0,0
2.3,2,2,28,2.5090001,Male,660,450,1,0,0
3.3,3.7,3.3,29,2.6300001,Male,710,530,0,1,0
2,2.7,2,30,2.425,Male,510,650,0,0,0
2.3,3.3,2,30,2.5039999,Male,650,480,1,0,0
2.3,2.7,3.7,31,2.7349999,Male,670,600,1,0,0
3.7,3,4,32,3.46,Male,670,630,1,0,0
2,2,2,27,2.7579999,Male,560,570,0,1,0
3.3,3.7,3.3,18,3.6129999,Female,620,580,1,0,0
2,3.3,2.7,31,2.73,Male,680,530,0,1,0
4,4,4,32,3.6440001,Female,650,600,1,0,0
3,2.3,3.3,18,2.8900001,Female,610,520,0,1,0
2,2.7,2.7,32,2.503,Female,570,490,0,1,0
2.7,2.7,2,18,2.3440001,Female,580,550,1,0,0
1.3,3,2,19,2.6199999,Male,570,480,1,0,0
3,4,3,27,2.7320001,Male,650,610,0,1,0
.69999999,2,2,18,2.3770001,Male,570,580,0,1,0
1.7,3,1.7,34,2.632,Female,620,610,0,1,0
2,2.7,4,27,2.7609999,Male,710,610,0,1,0
1.3,2,2.7,36,2.6760001,Male,590,570,1,0,0
2.3,3,2.7,30,3.036,Female,580,490,1,0,0
3,3.7,2.7,28,3.4389999,Male,710,550,0,1,0
4,4,3.7,33,3.1159999,Male,670,510,1,0,0
3,3,3.7,34,3.3169999,Female,610,670,1,0,0
2,2,2.7,31,2.6259999,Male,560,410,1,0,0
3,3,2,27,2.8800001,Male,540,480,1,0,0
3,3,4,24,3.421,Female,600,460,1,0,0
4,2.7,3.3,21,3.3239999,Male,660,580,1,0,0
2,2,2.3,24,2.55,Female,610,600,0,1,0
1.7,2,1.7,33,2.4579999,Female,640,540,1,0,0
2,1.3,2.3,31,2.7620001,Female,540,490,1,0,0
2.7,2,2.7,21,3.536,Female,580,490,1,0,0
2.7,3.3,3.3,27,3.069,Male,550,550,1,0,0
3.7,3.7,4,28,3.1900001,Male,640,460,1,0,0
0,2,2,24,2.2,Male,650,480,1,0,0
2.3,3,3,19,2.829,Female,620,500,0,1,0
1.3,2,2.7,23,2.6440001,Female,630,470,1,0,0
2.7,2.7,1.7,31,2.615,Male,620,560,1,0,0
2.7,3.3,2,33,2.859,Female,640,610,1,0,0
3,3,4,24,3.7060001,Female,660,580,0,1,0
2.7,2,2,32,2.4230001,Male,600,510,1,0,0
2,2,1.7,18,2.7249999,Male,490,450,1,0,0
3.3,3.3,3,27,3.309,Male,700,530,0,1,0
3.7,4,4,18,3.1760001,Male,640,520,0,1,0
3.7,4,2,30,3.279,Female,620,570,0,1,0
2.3,2.7,2,35,3.1199999,Male,590,700,1,0,0
2,3,3,33,2.7160001,Male,710,450,1,0,0
4,3,3.7,34,3.4059999,Female,710,570,1,0,0
3.7,3.3,4,33,2.8699999,Male,670,610,1,0,0
2,3,2.7,32,3.0120001,Male,670,480,0,1,0
3.7,3.3,4,18,3.8699999,Female,640,650,1,0,0
3,3,3,31,2.6919999,Female,590,500,1,0,0
1.7,2,2.7,31,2.487,Male,540,510,1,0,0
1.7,1.7,1,33,2.335,Male,530,530,0,1,0
2.7,4,3.3,31,2.974,Male,780,480,0,0,1
3.3,3,3,34,3.1930001,Male,630,580,0,1,0
2.3,3,1.7,22,2.8889999,Male,580,470,0,0,0
3,3,3,31,2.8380001,Male,630,600,1,0,0
3,3,3.3,36,2.9809999,Male,570,480,1,0,0
3,3,3.7,32,2.6760001,Male,740,580,0,1,0
1.7,2,.69999999,19,2.319,Male,730,560,0,1,0
2.7,2.7,2.3,32,2.688,Male,650,490,1,0,0
0,2,2,24,2.5350001,Male,690,510,0,1,0
4,2.3,4,27,2.6689999,Male,720,550,0,1,0
1.3,1,2,29,2.1500001,Male,590,600,1,0,0
3.3,2.7,2,27,2.9960001,Female,640,640,1,0,0
3.3,3.7,3.3,30,3.5999999,Female,670,510,0,1,0
3,3.7,1.7,31,3.5999999,Female,700,550,1,0,0
3.3,3,2,22,2.779,Female,620,620,1,0,0
2.3,3,2.3,18,2.858,Male,560,570,1,0,0
3,2,2.7,32,2.5209999,Female,590,610,1,0,0
2.3,2.7,2.3,19,2.2620001,Male,580,550,1,0,0
2.7,2.7,3,27,2.95,Male,660,580,1,0,0
2,2,2,32,2.2690001,Female,620,560,0,1,0
2.7,2.7,2,19,2.4619999,Female,610,520,1,0,0
3.3,2,2,18,2.5090001,Male,660,560,0,1,0
3.7,2.7,2.7,27,3.0350001,Female,590,480,1,0,0
2.3,2.7,2.7,19,2.7420001,Female,640,520,1,0,0
2.7,2.3,3,27,2.9030001,Male,610,490,1,0,0
3.7,3,3.3,24,3.658,Female,660,570,0,1,0
3,2,2,31,2.6129999,Male,610,400,1,0,0
3.7,4,4,31,2.9389999,Male,620,510,0,1,0
3,2.7,2.3,31,2.8529999,Female,580,460,1,0,0
4,4,3.7,27,3.02,Male,690,470,0,1,0
3,2,3,39,2.6099999,Male,610,470,0,1,0
1,2,2,34,2.1900001,Male,480,500,1,0,0
1.7,2.3,4,21,2.566,Male,600,490,1,0,0
3,3,2,22,2.5929999,Male,590,510,0,1,0
2.3,2,3,18,2.9549999,Male,640,560,0,1,0
3,4,2.7,18,3.3800001,Male,560,550,0,1,0
2.7,3,2.7,31,2.665,Male,710,530,1,0,0
2,1.7,3.7,27,1.888,Male,590,570,0,1,0
2.3,2.7,2.3,31,2.6300001,Male,590,530,1,0,0
2.3,3,2.3,28,3.316,Male,660,650,0,1,0
0,2,2,17,2.0810001,Male,730,550,1,0,0
2.7,1.7,2,32,2.8280001,Male,660,580,0,1,0
3.7,4,2.7,33,3.539,Male,600,460,0,1,0
2.7,2.3,2,28,2.727,Female,650,670,0,1,0
3,3,2,32,2.5109999,Female,520,630,1,0,0
3.7,3.7,2.3,32,3.1819999,Female,570,640,1,0,0
1.7,2,2.3,19,2.631,Male,610,500,1,0,0
0,1,1.3,34,2.039,Male,660,510,0,1,0
3,3,1.7,31,1.9529999,Female,630,560,1,0,0
3,2.7,2,20,3,Female,710,580,0,1,0
1.3,2,3,28,2.5409999,Male,650,600,0,1,0
2.7,3.7,2.7,28,2.8169999,Male,620,490,0,1,0
2.7,2.3,2.7,35,2.4849999,Male,680,570,0,1,0
4,4,4,31,3.8800001,Male,730,710,0,1,0
3,2,2.7,31,2.7160001,Male,640,460,1,0,0
3,2,2.7,31,2.786,Male,620,580,0,1,0
3.3,4,2.7,26,3.5699999,Female,640,680,1,0,0
2,3,3,24,3.474,Female,560,610,1,0,0
1,2.7,1.7,36,2.5139999,Male,620,700,1,0,0
2,2.7,2,35,2.951,Female,650,600,1,0,0
3.7,4,4,31,3.6300001,Male,700,530,0,0,0
3,2.7,3.3,33,3.0580001,Male,700,510,0,1,0
2.3,3,3,39,3.1930001,Female,610,620,0,1,0
0,2,3,33,2.5929999,Female,570,500,1,0,0
2.3,3,2.3,27,2.9030001,Female,640,650,1,0,0
2.7,3,4,19,3.1370001,Female,640,720,1,0,0
4,4,4,29,2.8410001,Male,660,650,0,1,0
4,2.3,1.7,23,2.8110001,Female,710,650,1,0,0
3.3,2.3,3,21,3.135,Female,610,570,0,1,0
2,2.7,2,31,2.72,Female,520,440,1,0,0
2.3,2.3,2,28,2.7739999,Female,600,510,1,0,0
3.7,3,2.3,18,2.8599999,Male,680,540,0,1,0
3,2.7,2,28,3.1470001,Female,620,600,1,0,0
3,3.3,2.7,32,2.71,Female,750,610,1,0,0
4,2,3,33,2.773,Male,660,580,0,1,0
2.7,2.3,3.3,30,2.2179999,Male,630,520,1,0,0
1.7,2,2,34,2.5179999,Female,400,400,1,0,0
2.3,3.3,1,22,2.4360001,Male,710,590,0,1,0
3,2.7,3.7,27,2.404,Male,520,450,0,0,0
1.7,3.3,1.7,32,2.326,Male,490,310,1,0,0
2.3,2.7,1.7,31,2.326,Male,630,490,1,0,0
1.7,2,3.7,31,2.9749999,Female,700,650,0,0,0
2.7,3,2.3,19,2.687,Male,680,550,0,1,0
3,2,2,25,2.5929999,Female,580,670,0,1,0
3.7,4,4,31,3.615,Male,720,620,0,1,0
1.7,2,2,33,2.346,Female,540,530,0,1,0
1.7,3.7,2.3,29,3.5209999,Male,550,470,0,1,0
